城市,日期,aqi指数,首要污染物,空气质量
定西,2020-01-07,57,-,良
定西,2020-01-08,54,-,良
定西,2020-01-09,63,PM2.5,良
定西,2020-01-10,55,-,良
平凉,2020-01-04,44,-,优
平凉,2020-01-05,53,PM2.5,良
平凉,2020-01-06,49,-,优
平凉,2020-01-07,54,-,良
平凉,2020-01-08,63,PM2.5,良
平凉,2020-01-09,87,PM2.5,良
平凉,2020-01-10,52,-,良
庆阳,2020-01-04,45,-,优
庆阳,2020-01-05,60,PM2.5,良
庆阳,2020-01-06,43,-,优
庆阳,2020-01-07,50,-,优
庆阳,2020-01-08,72,PM2.5,良
庆阳,2020-01-09,84,PM2.5,良
庆阳,2020-01-10,57,PM2.5,良
武威,2020-01-04,57,-,良
武威,2020-01-05,47,-,优
武威,2020-01-06,48,-,优
武威,2020-01-07,47,-,优
武威,2020-01-08,56,-,良
武威,2020-01-09,53,-,良
武威,2020-01-10,54,-,良
金昌,2020-01-04,56,-,良
金昌,2020-01-05,49,-,优
金昌,2020-01-06,48,-,优
金昌,2020-01-07,35,-,优
金昌,2020-01-08,50,-,优
金昌,2020-01-09,55,-,良
金昌,2020-01-10,55,-,良
张掖,2020-01-04,61,-,良
张掖,2020-01-05,47,-,优
张掖,2020-01-06,49,-,优
张掖,2020-01-07,35,-,优
张掖,2020-01-08,37,-,优
张掖,2020-01-09,55,-,良
张掖,2020-01-10,56,-,良
酒泉,2020-01-04,61,-,良
酒泉,2020-01-05,50,-,优
酒泉,2020-01-06,13,-,优
酒泉,2020-01-07,24,-,优
酒泉,2020-01-08,31,-,优
酒泉,2020-01-09,52,-,良
酒泉,2020-01-10,55,-,良
天水,2020-01-04,81,-,良
天水,2020-01-05,90,-,良
天水,2020-01-06,62,-,良
天水,2020-01-07,55,-,良
天水,2020-01-08,50,-,优
天水,2020-01-09,63,PM2.5,良
天水,2020-01-10,53,-,良
陇南,2020-01-04,44,-,优
陇南,2020-01-05,45,-,优
陇南,2020-01-06,55,-,良
陇南,2020-01-07,58,-,良
陇南,2020-01-08,59,PM2.5,良
陇南,2020-01-09,70,PM2.5,良
陇南,2020-01-10,50,-,优
临夏,2020-01-04,187,-,中度污染
临夏,2020-01-05,77,-,良
临夏,2020-01-06,41,-,优
临夏,2020-01-07,67,-,良
临夏,2020-01-08,56,-,良
临夏,2020-01-09,55,PM2.5,良
临夏,2020-01-10,63,-,良
甘南,2020-01-04,48,-,优
甘南,2020-01-05,50,-,优
甘南,2020-01-06,50,-,优
甘南,2020-01-07,46,-,优
甘南,2020-01-08,49,-,优
甘南,2020-01-09,50,-,优
甘南,2020-01-10,53,-,良
白银,2020-01-04,47,-,优
白银,2020-01-05,49,-,优
白银,2020-01-06,49,-,优
白银,2020-01-07,50,-,优
白银,2020-01-08,52,-,良
白银,2020-01-09,52,PM2.5,良
白银,2020-01-10,54,-,良
嘉峪关,2020-01-04,64,-,良
嘉峪关,2020-01-05,27,-,优
嘉峪关,2020-01-06,12,-,优
嘉峪关,2020-01-07,15,-,优
嘉峪关,2020-01-08,20,-,优
嘉峪关,2020-01-09,53,-,良
嘉峪关,2020-01-10,57,-,良
银川,2020-01-04,140,PM2.5,轻度污染
银川,2020-01-05,95,PM2.5,良
银川,2020-01-06,43,-,优
银川,2020-01-07,15,-,优
银川,2020-01-08,48,-,优
银川,2020-01-09,93,PM2.5,良
银川,2020-01-10,55,PM2.5,良
石嘴山,2020-01-04,109,-,轻度污染
石嘴山,2020-01-05,71,-,良
石嘴山,2020-01-06,44,-,优
石嘴山,2020-01-07,18,-,优
石嘴山,2020-01-08,35,-,优
石嘴山,2020-01-09,72,PM2.5,良
石嘴山,2020-01-10,53,-,良
吴忠,2020-01-04,46,-,优
吴忠,2020-01-05,39,-,优
吴忠,2020-01-06,47,-,优
吴忠,2020-01-07,50,-,优
吴忠,2020-01-08,54,PM2.5,良
吴忠,2020-01-09,82,PM2.5,良
吴忠,2020-01-10,53,PM2.5,良
固原,2020-01-04,50,-,优
固原,2020-01-05,50,-,优
固原,2020-01-06,60,-,良
固原,2020-01-07,50,-,优
固原,2020-01-08,126,-,轻度污染
固原,2020-01-09,72,PM2.5,良
固原,2020-01-10,53,-,良
中卫,2020-01-04,100,-,良
中卫,2020-01-05,53,-,良
中卫,2020-01-06,48,-,优
中卫,2020-01-07,39,-,优
中卫,2020-01-08,66,-,良
中卫,2020-01-09,47,-,优
中卫,2020-01-10,50,-,优
郑州,2020-01-04,240,PM2.5,重度污染
郑州,2020-01-05,75,-,良
郑州,2020-01-06,66,PM2.5,良
郑州,2020-01-07,70,NO2,良
郑州,2020-01-08,105,PM2.5,轻度污染
郑州,2020-01-09,208,PM2.5,重度污染
郑州,2020-01-10,216,PM2.5,重度污染
安阳,2020-01-04,268,PM2.5,重度污染
安阳,2020-01-05,109,PM2.5,轻度污染
安阳,2020-01-06,77,PM2.5,良
安阳,2020-01-07,83,PM2.5,良
安阳,2020-01-08,166,PM2.5,中度污染
安阳,2020-01-09,169,PM2.5,中度污染
安阳,2020-01-10,203,PM2.5,重度污染
新乡,2020-01-04,256,PM2.5,重度污染
新乡,2020-01-05,91,PM2.5,良
新乡,2020-01-06,69,PM2.5,良
新乡,2020-01-07,99,PM2.5,良
新乡,2020-01-08,133,PM2.5,轻度污染
新乡,2020-01-09,203,PM2.5,重度污染
新乡,2020-01-10,209,PM2.5,重度污染
许昌,2020-01-04,184,PM2.5,中度污染
许昌,2020-01-05,68,PM2.5,良
许昌,2020-01-06,80,PM2.5,良
许昌,2020-01-07,66,PM2.5,良
许昌,2020-01-08,133,PM2.5,轻度污染
许昌,2020-01-09,169,PM2.5,中度污染
许昌,2020-01-10,215,PM2.5,重度污染
平顶山,2020-01-04,192,PM2.5,中度污染
平顶山,2020-01-05,79,PM2.5,良
平顶山,2020-01-06,83,PM2.5,良
平顶山,2020-01-07,82,PM2.5,良
平顶山,2020-01-08,171,PM2.5,中度污染
平顶山,2020-01-09,182,PM2.5,中度污染
平顶山,2020-01-10,218,PM2.5,重度污染
信阳,2020-01-04,50,PM2.5,优
信阳,2020-01-05,81,PM2.5,良
信阳,2020-01-06,76,PM2.5,良
信阳,2020-01-07,72,PM2.5,良
信阳,2020-01-08,100,PM2.5,良
信阳,2020-01-09,112,PM2.5,轻度污染
信阳,2020-01-10,142,PM2.5,轻度污染
南阳,2020-01-04,238,PM2.5,重度污染
南阳,2020-01-05,100,PM2.5,良
南阳,2020-01-06,79,PM2.5,良
南阳,2020-01-07,79,PM2.5,良
南阳,2020-01-08,113,PM2.5,轻度污染
南阳,2020-01-09,119,PM2.5,轻度污染
南阳,2020-01-10,172,PM2.5,中度污染
开封,2020-01-04,198,PM2.5,中度污染
开封,2020-01-05,62,PM2.5,良
开封,2020-01-06,66,PM2.5,良
开封,2020-01-07,55,PM2.5,良
开封,2020-01-08,91,PM2.5,良
开封,2020-01-09,166,PM2.5,中度污染
开封,2020-01-10,202,PM2.5,重度污染
洛阳,2020-01-04,191,PM2.5,中度污染
洛阳,2020-01-05,99,PM2.5,良
洛阳,2020-01-06,68,PM2.5,良
洛阳,2020-01-07,63,PM2.5,良
洛阳,2020-01-08,77,PM2.5,良
洛阳,2020-01-09,216,PM2.5,重度污染
洛阳,2020-01-10,240,PM2.5,重度污染
商丘,2020-01-04,196,PM2.5,中度污染
商丘,2020-01-05,47,-,优
商丘,2020-01-06,41,-,优
商丘,2020-01-07,41,-,优
商丘,2020-01-08,81,PM2.5,良
商丘,2020-01-09,182,PM2.5,中度污染
商丘,2020-01-10,170,PM2.5,中度污染
焦作,2020-01-04,239,PM2.5,重度污染
焦作,2020-01-05,100,PM2.5,良
焦作,2020-01-06,63,PM2.5,良
焦作,2020-01-07,100,PM2.5,良
焦作,2020-01-08,148,PM2.5,轻度污染
焦作,2020-01-09,208,PM2.5,重度污染
焦作,2020-01-10,192,PM2.5,中度污染
鹤壁,2020-01-04,268,PM2.5,重度污染
鹤壁,2020-01-05,99,PM2.5,良
鹤壁,2020-01-06,71,PM2.5,良
鹤壁,2020-01-07,98,PM2.5,良
鹤壁,2020-01-08,104,PM2.5,轻度污染
鹤壁,2020-01-09,156,PM2.5,中度污染
鹤壁,2020-01-10,198,PM2.5,中度污染
濮阳,2020-01-04,291,PM2.5,重度污染
濮阳,2020-01-05,90,PM2.5,良
濮阳,2020-01-06,50,PM2.5,优
濮阳,2020-01-07,54,PM2.5,良
濮阳,2020-01-08,83,PM2.5,良
濮阳,2020-01-09,202,PM2.5,重度污染
濮阳,2020-01-10,251,PM2.5,重度污染
周口,2020-01-04,135,PM2.5,轻度污染
周口,2020-01-05,49,-,优
周口,2020-01-06,70,PM2.5,良
周口,2020-01-07,54,PM2.5,良
周口,2020-01-08,112,PM2.5,轻度污染
周口,2020-01-09,148,PM2.5,轻度污染
周口,2020-01-10,196,PM2.5,中度污染
漯河,2020-01-04,137,PM2.5,轻度污染
漯河,2020-01-05,68,PM2.5,良
漯河,2020-01-06,91,PM2.5,良
漯河,2020-01-07,75,PM2.5,良
漯河,2020-01-08,119,PM2.5,轻度污染
漯河,2020-01-09,142,PM2.5,轻度污染
漯河,2020-01-10,189,PM2.5,中度污染
驻马店,2020-01-04,95,PM2.5,良
驻马店,2020-01-05,67,PM2.5,良
驻马店,2020-01-06,85,PM2.5,良
驻马店,2020-01-07,76,PM2.5,良
驻马店,2020-01-08,122,PM2.5,轻度污染
驻马店,2020-01-09,147,PM2.5,轻度污染
驻马店,2020-01-10,190,PM2.5,中度污染
三门峡,2020-01-04,224,PM2.5,重度污染
三门峡,2020-01-05,137,PM2.5,轻度污染
三门峡,2020-01-06,54,PM2.5,良
三门峡,2020-01-07,94,PM2.5,良
三门峡,2020-01-08,100,PM2.5,良
三门峡,2020-01-09,129,PM2.5,轻度污染
三门峡,2020-01-10,160,PM2.5,中度污染
济源,2020-01-04,212,PM2.5,重度污染
济源,2020-01-05,104,PM2.5,轻度污染
济源,2020-01-06,70,PM2.5,良
济源,2020-01-07,78,PM2.5,良
济源,2020-01-08,144,PM2.5,轻度污染
济源,2020-01-09,223,PM2.5,重度污染
济源,2020-01-10,225,PM2.5,重度污染
南京,2020-01-04,150,PM2.5,轻度污染
南京,2020-01-05,100,PM2.5,良
南京,2020-01-06,102,NO2,轻度污染
南京,2020-01-07,65,PM10,良
南京,2020-01-08,65,PM10,良
南京,2020-01-09,107,PM2.5,轻度污染
南京,2020-01-10,99,PM2.5,良
无锡,2020-01-04,115,PM2.5,轻度污染
无锡,2020-01-05,47,-,优
无锡,2020-01-06,60,PM2.5,良
无锡,2020-01-07,54,PM2.5,良
无锡,2020-01-08,87,PM2.5,良
无锡,2020-01-09,113,PM2.5,轻度污染
无锡,2020-01-10,98,PM2.5,良
镇江,2020-01-04,190,PM2.5,中度污染
镇江,2020-01-05,79,PM2.5,良
镇江,2020-01-06,115,PM2.5,轻度污染
镇江,2020-01-07,75,PM2.5,良
镇江,2020-01-08,100,PM2.5,良
镇江,2020-01-09,128,PM2.5,轻度污染
镇江,2020-01-10,133,PM2.5,轻度污染
苏州,2020-01-04,97,PM2.5,良
苏州,2020-01-05,40,-,优
苏州,2020-01-06,83,-,良
苏州,2020-01-07,53,PM2.5,良
苏州,2020-01-08,83,PM2.5,良
苏州,2020-01-09,108,PM2.5,轻度污染
苏州,2020-01-10,73,PM2.5,良
南通,2020-01-04,118,PM2.5,轻度污染
南通,2020-01-05,41,-,优
南通,2020-01-06,73,PM2.5,良
南通,2020-01-07,75,PM2.5,良
南通,2020-01-08,43,-,优
南通,2020-01-09,103,PM2.5,轻度污染
南通,2020-01-10,80,PM2.5,良
扬州,2020-01-04,98,PM2.5,良
扬州,2020-01-05,95,PM2.5,良
扬州,2020-01-06,112,PM2.5,轻度污染
扬州,2020-01-07,78,PM2.5,良
扬州,2020-01-08,87,PM2.5,良
扬州,2020-01-09,109,PM2.5,轻度污染
扬州,2020-01-10,123,PM2.5,轻度污染
盐城,2020-01-04,197,-,中度污染
盐城,2020-01-05,72,-,良
盐城,2020-01-06,68,PM2.5,良
盐城,2020-01-07,18,-,优
盐城,2020-01-08,38,-,优
盐城,2020-01-09,72,PM2.5,良
盐城,2020-01-10,43,-,优
徐州,2020-01-04,241,PM2.5,重度污染
徐州,2020-01-05,49,-,优
徐州,2020-01-06,36,-,优
徐州,2020-01-07,39,-,优
徐州,2020-01-08,63,PM2.5,良
徐州,2020-01-09,155,PM2.5,中度污染
徐州,2020-01-10,114,PM2.5,轻度污染
淮安,2020-01-04,198,-,中度污染
淮安,2020-01-05,68,-,良
淮安,2020-01-06,85,PM2.5,良
淮安,2020-01-07,34,-,优
淮安,2020-01-08,78,PM2.5,良
淮安,2020-01-09,90,PM2.5,良
淮安,2020-01-10,73,PM2.5,良
连云港,2020-01-04,265,PM2.5,重度污染
连云港,2020-01-05,55,PM2.5,良
连云港,2020-01-06,29,-,优
连云港,2020-01-07,42,-,优
连云港,2020-01-08,36,-,优
连云港,2020-01-09,88,PM2.5,良
连云港,2020-01-10,70,PM2.5,良
常州,2020-01-04,145,PM2.5,轻度污染
常州,2020-01-05,62,PM2.5,良
常州,2020-01-06,54,PM2.5,良
常州,2020-01-07,53,PM2.5,良
常州,2020-01-08,97,PM2.5,良
常州,2020-01-09,128,PM2.5,轻度污染
常州,2020-01-10,99,PM2.5,良
泰州,2020-01-04,68,PM2.5,良
泰州,2020-01-05,68,PM2.5,良
泰州,2020-01-06,108,PM2.5,轻度污染
泰州,2020-01-07,74,PM2.5,良
泰州,2020-01-08,82,PM2.5,良
泰州,2020-01-09,97,PM2.5,良
泰州,2020-01-10,93,PM2.5,良
宿迁,2020-01-04,238,PM2.5,重度污染
宿迁,2020-01-05,74,PM2.5,良
宿迁,2020-01-06,40,-,优
宿迁,2020-01-07,31,-,优
宿迁,2020-01-08,99,PM2.5,良
宿迁,2020-01-09,122,PM2.5,轻度污染
宿迁,2020-01-10,105,PM2.5,轻度污染
武汉,2020-01-04,86,PM2.5,良
武汉,2020-01-05,100,PM2.5,良
武汉,2020-01-06,75,PM2.5,良
武汉,2020-01-07,55,PM2.5,良
武汉,2020-01-08,75,PM2.5,良
武汉,2020-01-09,180,PM2.5,中度污染
武汉,2020-01-10,189,PM2.5,中度污染
襄阳,2020-01-04,97,PM2.5,良
襄阳,2020-01-05,77,PM2.5,良
襄阳,2020-01-06,82,PM2.5,良
襄阳,2020-01-07,82,PM2.5,良
襄阳,2020-01-08,75,PM2.5,良
襄阳,2020-01-09,97,PM2.5,良
襄阳,2020-01-10,152,PM2.5,中度污染
鄂州,2020-01-04,94,PM2.5,良
鄂州,2020-01-05,189,PM2.5,中度污染
鄂州,2020-01-06,108,PM2.5,轻度污染
鄂州,2020-01-07,85,PM2.5,良
鄂州,2020-01-08,102,PM2.5,轻度污染
鄂州,2020-01-09,145,PM2.5,轻度污染
鄂州,2020-01-10,139,PM2.5,轻度污染
孝感,2020-01-04,107,PM2.5,轻度污染
孝感,2020-01-05,129,PM2.5,轻度污染
孝感,2020-01-06,81,PM2.5,良
孝感,2020-01-07,63,PM2.5,良
孝感,2020-01-08,59,PM2.5,良
孝感,2020-01-09,140,PM2.5,轻度污染
孝感,2020-01-10,160,PM2.5,中度污染
黄冈,2020-01-04,94,PM2.5,良
黄冈,2020-01-05,191,PM2.5,中度污染
黄冈,2020-01-06,108,PM2.5,轻度污染
黄冈,2020-01-07,86,PM2.5,良
黄冈,2020-01-08,102,PM2.5,轻度污染
黄冈,2020-01-09,145,PM2.5,轻度污染
黄冈,2020-01-10,139,PM2.5,轻度污染
黄石,2020-01-04,77,PM2.5,良
黄石,2020-01-05,190,PM2.5,中度污染
黄石,2020-01-06,117,PM2.5,轻度污染
黄石,2020-01-07,82,PM2.5,良
黄石,2020-01-08,129,PM2.5,轻度污染
黄石,2020-01-09,153,PM2.5,中度污染
黄石,2020-01-10,165,PM2.5,中度污染
咸宁,2020-01-04,77,PM2.5,良
咸宁,2020-01-05,67,PM2.5,良
咸宁,2020-01-06,78,-,良
咸宁,2020-01-07,83,PM2.5,良
咸宁,2020-01-08,92,PM2.5,良
咸宁,2020-01-09,100,PM2.5,良
咸宁,2020-01-10,97,PM2.5,良
荆州,2020-01-04,126,PM2.5,轻度污染
荆州,2020-01-05,220,PM2.5,重度污染
荆州,2020-01-06,97,PM2.5,良
荆州,2020-01-07,91,PM2.5,良
荆州,2020-01-08,107,PM2.5,轻度污染
荆州,2020-01-09,142,PM2.5,轻度污染
荆州,2020-01-10,176,PM2.5,中度污染
宜昌,2020-01-04,112,PM2.5,轻度污染
宜昌,2020-01-05,119,PM2.5,轻度污染
宜昌,2020-01-06,90,PM2.5,良
宜昌,2020-01-07,94,PM2.5,良
宜昌,2020-01-08,89,PM2.5,良
宜昌,2020-01-09,189,PM2.5,中度污染
宜昌,2020-01-10,211,PM2.5,重度污染
恩施,2020-01-04,38,-,优
恩施,2020-01-05,49,-,优
恩施,2020-01-06,46,-,优
恩施,2020-01-07,88,PM2.5,良
恩施,2020-01-08,82,PM2.5,良
恩施,2020-01-09,62,PM2.5,良
恩施,2020-01-10,95,PM2.5,良
十堰,2020-01-04,190,PM2.5,中度污染
十堰,2020-01-05,119,PM2.5,轻度污染
十堰,2020-01-06,84,PM2.5,良
十堰,2020-01-07,118,PM2.5,轻度污染
十堰,2020-01-08,77,PM2.5,良
十堰,2020-01-09,119,PM2.5,轻度污染
十堰,2020-01-10,160,PM2.5,中度污染
神农架,2020-01-04,150,-,轻度污染
神农架,2020-01-05,70,-,良
神农架,2020-01-06,41,-,优
神农架,2020-01-07,84,PM2.5,良
神农架,2020-01-08,49,-,优
神农架,2020-01-09,55,-,良
神农架,2020-01-10,77,PM2.5,良
随州,2020-01-04,55,PM2.5,良
随州,2020-01-05,88,PM2.5,良
随州,2020-01-06,78,PM2.5,良
随州,2020-01-07,77,PM2.5,良
随州,2020-01-08,93,PM2.5,良
随州,2020-01-09,104,PM2.5,轻度污染
随州,2020-01-10,132,PM2.5,轻度污染
荆门,2020-01-04,133,PM2.5,轻度污染
荆门,2020-01-05,163,PM2.5,中度污染
荆门,2020-01-06,84,PM2.5,良
荆门,2020-01-07,77,PM2.5,良
荆门,2020-01-08,93,PM2.5,良
荆门,2020-01-09,119,PM2.5,轻度污染
荆门,2020-01-10,150,PM2.5,轻度污染
天门,2020-01-04,100,PM2.5,良
天门,2020-01-05,241,PM2.5,重度污染
天门,2020-01-06,110,PM2.5,轻度污染
天门,2020-01-07,118,PM2.5,轻度污染
天门,2020-01-08,108,PM2.5,轻度污染
天门,2020-01-09,144,PM2.5,轻度污染
天门,2020-01-10,175,PM2.5,中度污染
仙桃,2020-01-04,95,PM2.5,良
仙桃,2020-01-05,109,PM2.5,轻度污染
仙桃,2020-01-06,123,PM2.5,轻度污染
仙桃,2020-01-07,85,PM2.5,良
仙桃,2020-01-08,70,PM2.5,良
仙桃,2020-01-09,132,PM2.5,轻度污染
仙桃,2020-01-10,142,PM2.5,轻度污染
潜江,2020-01-04,76,PM2.5,良
潜江,2020-01-05,274,PM2.5,重度污染
潜江,2020-01-06,115,PM2.5,轻度污染
潜江,2020-01-07,133,PM2.5,轻度污染
潜江,2020-01-08,125,PM2.5,轻度污染
潜江,2020-01-09,160,PM2.5,中度污染
潜江,2020-01-10,193,PM2.5,中度污染
杭州,2020-01-04,90,-,良
杭州,2020-01-05,44,-,优
杭州,2020-01-06,70,PM2.5,良
杭州,2020-01-07,90,PM2.5,良
杭州,2020-01-08,65,PM2.5,良
杭州,2020-01-09,114,PM2.5,轻度污染
杭州,2020-01-10,89,PM2.5,良
湖州,2020-01-04,96,PM2.5,良
湖州,2020-01-05,46,-,优
湖州,2020-01-06,94,-,良
湖州,2020-01-07,53,PM2.5,良
湖州,2020-01-08,77,PM2.5,良
湖州,2020-01-09,94,PM2.5,良
湖州,2020-01-10,75,PM2.5,良
嘉兴,2020-01-04,72,PM2.5,良
嘉兴,2020-01-05,36,-,优
嘉兴,2020-01-06,39,-,优
嘉兴,2020-01-07,48,-,优
嘉兴,2020-01-08,78,PM2.5,良
嘉兴,2020-01-09,89,PM2.5,良
嘉兴,2020-01-10,58,PM2.5,良
宁波,2020-01-04,31,-,优
宁波,2020-01-05,13,-,优
宁波,2020-01-06,24,-,优
宁波,2020-01-07,39,-,优
宁波,2020-01-08,45,-,优
宁波,2020-01-09,65,PM2.5,良
宁波,2020-01-10,46,-,优
绍兴,2020-01-04,42,-,优
绍兴,2020-01-05,39,-,优
绍兴,2020-01-06,40,-,优
绍兴,2020-01-07,53,-,良
绍兴,2020-01-08,75,PM2.5,良
绍兴,2020-01-09,99,PM2.5,良
绍兴,2020-01-10,58,PM2.5,良
台州,2020-01-04,63,-,良
台州,2020-01-05,40,-,优
台州,2020-01-06,43,-,优
台州,2020-01-07,44,-,优
台州,2020-01-08,33,-,优
台州,2020-01-09,49,-,优
台州,2020-01-10,48,-,优
温州,2020-01-04,91,-,良
温州,2020-01-05,34,-,优
温州,2020-01-06,39,-,优
温州,2020-01-07,43,-,优
温州,2020-01-08,37,-,优
温州,2020-01-09,53,PM2.5,良
温州,2020-01-10,45,-,优
丽水,2020-01-04,30,-,优
丽水,2020-01-05,34,-,优
丽水,2020-01-06,39,-,优
丽水,2020-01-07,43,-,优
丽水,2020-01-08,50,-,优
丽水,2020-01-09,58,PM2.5,良
丽水,2020-01-10,46,-,优
金华,2020-01-04,42,-,优
金华,2020-01-05,30,-,优
金华,2020-01-06,39,-,优
金华,2020-01-07,43,-,优
金华,2020-01-08,57,PM2.5,良
金华,2020-01-09,73,PM2.5,良
金华,2020-01-10,44,-,优
衢州,2020-01-04,33,-,优
衢州,2020-01-05,32,-,优
衢州,2020-01-06,40,-,优
衢州,2020-01-07,43,-,优
衢州,2020-01-08,41,-,优
衢州,2020-01-09,60,PM2.5,良
衢州,2020-01-10,45,-,优
舟山,2020-01-04,36,-,优
舟山,2020-01-05,41,-,优
舟山,2020-01-06,44,-,优
舟山,2020-01-07,42,-,优
舟山,2020-01-08,32,-,优
舟山,2020-01-09,47,-,优
舟山,2020-01-10,50,-,优
合肥,2020-01-04,140,PM2.5,轻度污染
合肥,2020-01-05,131,PM2.5,轻度污染
合肥,2020-01-06,87,PM2.5,良
合肥,2020-01-07,90,PM2.5,良
合肥,2020-01-08,95,PM2.5,良
合肥,2020-01-09,139,PM2.5,轻度污染
合肥,2020-01-10,139,PM2.5,轻度污染
蚌埠,2020-01-04,220,PM2.5,重度污染
蚌埠,2020-01-05,114,PM2.5,轻度污染
蚌埠,2020-01-06,96,PM2.5,良
蚌埠,2020-01-07,53,PM2.5,良
蚌埠,2020-01-08,77,PM2.5,良
蚌埠,2020-01-09,158,PM2.5,中度污染
蚌埠,2020-01-10,170,PM2.5,中度污染
芜湖,2020-01-04,137,PM2.5,轻度污染
芜湖,2020-01-05,70,PM2.5,良
芜湖,2020-01-06,52,PM2.5,良
芜湖,2020-01-07,65,PM2.5,良
芜湖,2020-01-08,69,PM2.5,良
芜湖,2020-01-09,110,PM2.5,轻度污染
芜湖,2020-01-10,78,PM2.5,良
淮南,2020-01-04,196,PM2.5,中度污染
淮南,2020-01-05,123,PM2.5,轻度污染
淮南,2020-01-06,102,PM2.5,轻度污染
淮南,2020-01-07,56,PM2.5,良
淮南,2020-01-08,75,PM2.5,良
淮南,2020-01-09,147,PM2.5,轻度污染
淮南,2020-01-10,152,PM2.5,中度污染
马鞍山,2020-01-04,117,PM2.5,轻度污染
马鞍山,2020-01-05,82,PM2.5,良
马鞍山,2020-01-06,97,PM2.5,良
马鞍山,2020-01-07,85,PM2.5,良
马鞍山,2020-01-08,64,PM2.5,良
马鞍山,2020-01-09,134,PM2.5,轻度污染
马鞍山,2020-01-10,119,PM2.5,轻度污染
安庆,2020-01-04,24,-,优
安庆,2020-01-05,49,-,优
安庆,2020-01-06,38,-,优
安庆,2020-01-07,64,PM2.5,良
安庆,2020-01-08,93,PM2.5,良
安庆,2020-01-09,120,PM2.5,轻度污染
安庆,2020-01-10,85,PM2.5,良
宿州,2020-01-04,198,PM2.5,中度污染
宿州,2020-01-05,47,-,优
宿州,2020-01-06,61,PM2.5,良
宿州,2020-01-07,90,PM2.5,良
宿州,2020-01-08,82,PM2.5,良
宿州,2020-01-09,160,PM2.5,中度污染
宿州,2020-01-10,122,PM2.5,轻度污染
阜阳,2020-01-04,149,PM2.5,轻度污染
阜阳,2020-01-05,97,PM2.5,良
阜阳,2020-01-06,96,PM2.5,良
阜阳,2020-01-07,72,PM2.5,良
阜阳,2020-01-08,143,PM2.5,轻度污染
阜阳,2020-01-09,172,PM2.5,中度污染
阜阳,2020-01-10,202,PM2.5,重度污染
亳州,2020-01-04,150,PM2.5,轻度污染
亳州,2020-01-05,43,-,优
亳州,2020-01-06,53,PM2.5,良
亳州,2020-01-07,48,-,优
亳州,2020-01-08,90,PM2.5,良
亳州,2020-01-09,173,PM2.5,中度污染
亳州,2020-01-10,163,PM2.5,中度污染
黄山,2020-01-04,38,-,优
黄山,2020-01-05,78,-,良
黄山,2020-01-06,37,-,优
黄山,2020-01-07,52,-,良
黄山,2020-01-08,44,-,优
黄山,2020-01-09,68,PM2.5,良
黄山,2020-01-10,43,-,优
滁州,2020-01-04,132,PM2.5,轻度污染
滁州,2020-01-05,92,PM2.5,良
滁州,2020-01-06,105,PM2.5,轻度污染
滁州,2020-01-07,48,-,优
滁州,2020-01-08,79,PM2.5,良
滁州,2020-01-09,100,PM2.5,良
滁州,2020-01-10,119,PM2.5,轻度污染
淮北,2020-01-04,225,PM2.5,重度污染
淮北,2020-01-05,47,-,优
淮北,2020-01-06,50,PM2.5,优
淮北,2020-01-07,46,-,优
淮北,2020-01-08,73,PM2.5,良
淮北,2020-01-09,211,PM2.5,重度污染
淮北,2020-01-10,160,PM2.5,中度污染
铜陵,2020-01-04,79,PM2.5,良
铜陵,2020-01-05,94,PM2.5,良
铜陵,2020-01-06,64,PM2.5,良
铜陵,2020-01-07,74,PM2.5,良
铜陵,2020-01-08,114,PM2.5,轻度污染
铜陵,2020-01-09,143,PM2.5,轻度污染
铜陵,2020-01-10,110,PM2.5,轻度污染
宣城,2020-01-04,89,PM2.5,良
宣城,2020-01-05,63,PM2.5,良
宣城,2020-01-06,38,-,优
宣城,2020-01-07,58,PM2.5,良
宣城,2020-01-08,98,PM2.5,良
宣城,2020-01-09,109,PM2.5,轻度污染
宣城,2020-01-10,67,PM2.5,良
六安,2020-01-04,95,PM2.5,良
六安,2020-01-05,174,PM2.5,中度污染
六安,2020-01-06,159,PM2.5,中度污染
六安,2020-01-07,77,PM2.5,良
六安,2020-01-08,112,PM2.5,轻度污染
六安,2020-01-09,150,PM2.5,轻度污染
六安,2020-01-10,156,PM2.5,中度污染
池州,2020-01-04,35,-,优
池州,2020-01-05,65,PM2.5,良
池州,2020-01-06,52,-,良
池州,2020-01-07,59,PM2.5,良
池州,2020-01-08,100,PM2.5,良
池州,2020-01-09,119,PM2.5,轻度污染
池州,2020-01-10,78,PM2.5,良
福州,2020-01-04,47,-,优
福州,2020-01-05,26,-,优
福州,2020-01-06,45,-,优
福州,2020-01-07,70,PM10,良
福州,2020-01-08,34,-,优
福州,2020-01-09,48,-,优
福州,2020-01-10,46,-,优
厦门,2020-01-04,60,-,良
厦门,2020-01-05,35,-,优
厦门,2020-01-06,29,-,优
厦门,2020-01-07,22,-,优
厦门,2020-01-08,36,-,优
厦门,2020-01-09,52,PM2.5,良
厦门,2020-01-10,49,-,优
宁德,2020-01-04,38,-,优
宁德,2020-01-05,33,-,优
宁德,2020-01-06,37,-,优
宁德,2020-01-07,43,-,优
宁德,2020-01-08,45,-,优
宁德,2020-01-09,46,-,优
宁德,2020-01-10,44,-,优
莆田,2020-01-04,37,-,优
莆田,2020-01-05,34,-,优
